fecha;instruccion;tipo;robot_id
2026-06-05 08:42:17;Abriendo pinza para tomar pieza;Pinza;16
2026-06-05 08:42:16;Subiendo después de paletizar;Movimiento;16
2026-06-05 08:42:13;Abriendo pinza para soltar pieza paletizada;Pinza;16
2026-06-05 08:42:13;Dejando la pieza en la posición de paletizado;Movimiento;16
2026-06-05 08:42:10;Subiendo con pieza para paletizar;Movimiento;16
2026-06-05 08:42:08;Cerrando pinza para agarrar pieza para paletizar;Pinza;16
2026-06-05 08:42:07;Bajando para agarrar pieza para paletizar;Movimiento;16
2026-06-05 08:42:05;Moviendo a posición de ataque para paletizar;Movimiento;16
2026-06-05 08:42:02;Pieza detectada en sensor 1, deteniendo cinta para paletizar;Cinta;16
2026-06-05 08:41:55;Corriendo cinta después de soltar pieza;Cinta;16
2026-06-05 08:41:55;Subiendo un poco después de soltar pieza en cinta;Movimiento;16
2026-06-05 08:41:53;Abriendo pinza para soltar pieza en cinta;Pinza;16
2026-06-05 08:41:52;Moviendo a posición para soltar pieza en cinta;Movimiento;16
2026-06-05 08:41:51;Subiendo con pieza agarrada;Movimiento;16
2026-06-05 08:41:49;Cerrando pinza para agarrar pieza;Pinza;16
2026-06-05 08:41:48;Posicionando agarrar pieza;Movimiento;16
2026-06-05 08:41:47;Bajando para agarrar pieza;Movimiento;16
2026-06-05 08:41:45;Ejecutando bajar a pieza;Movimiento;16
2026-06-05 08:41:42;Moviendo a posición de agarre;Movimiento;16
2026-06-05 08:41:39;Moviendo a posición inicial para tomar pieza;Movimiento;16
2026-06-05 08:41:34;Abriendo pinza para tomar pieza;Pinza;16
2026-06-05 08:41:34;Robot inicializado;Sistema;16
2026-06-05 08:41:34;Robot actualizando herramienta;Sistema;16
2026-06-05 08:41:33;Robot Calibrando;Sistema;16
2026-06-05 08:37:31;Corriendo cinta después de soltar pieza;Cinta;16
2026-06-05 08:37:31;Subiendo un poco después de soltar pieza en cinta;Movimiento;16
2026-06-05 08:37:29;Abriendo pinza para soltar pieza en cinta;Pinza;16
2026-06-05 08:37:28;Moviendo a posición para soltar pieza en cinta;Movimiento;16
2026-06-05 08:37:26;Subiendo con pieza agarrada;Movimiento;16
2026-06-05 08:37:25;Cerrando pinza para agarrar pieza;Pinza;16
2026-06-05 08:37:24;Posicionando agarrar pieza;Movimiento;16
2026-06-05 08:37:23;Bajando para agarrar pieza;Movimiento;16
2026-06-05 08:37:21;Ejecutando bajar a pieza;Movimiento;16
